name,owner,url,stars,created_at,pushed_at,primary_language,merged_pull_requests,releases_count,closed_issues,total_issues
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,539714,2018-05-09 12:03:18+00:00,2026-07-14 19:25:58+00:00,Markdown,157,0,677,945
awesome,sindresorhus,https://github.com/sindresorhus/awesome,495751,2014-07-11 13:42:37+00:00,2026-06-30 18:21:16+00:00,,700,0,352,368
public-apis,public-apis,https://github.com/public-apis/public-apis,458433,2016-03-20 23:49:42+00:00,2026-08-13 21:07:34+00:00,Python,2130,0,911,923
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454028,2014-12-24 17:49:19+00:00,2026-08-14 18:40:06+00:00,TypeScript,29096,0,21890,22060
free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,394422,2013-10-11 06:50:37+00:00,2026-08-11 12:11:06+00:00,Python,7417,0,1254,1292
openclaw,openclaw,https://github.com/openclaw/openclaw,386320,2025-11-24 10:16:47+00:00,2026-08-14 20:38:30+00:00,TypeScript,24896,233,43632,47035
developer-roadmap,nilbuild,https://github.com/nilbuild/developer-roadmap,364431,2017-03-15 13:45:52+00:00,2026-08-14 17:26:59+00:00,TypeScript,4396,1,3185,3185
system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,363780,2017-02-26 16:15:28+00:00,2026-03-20 01:52:19+00:00,Python,210,0,127,399
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,358733,2016-06-06 02:34:12+00:00,2025-08-28 14:42:47+00:00,,415,0,455,536
awesome-python,vinta,https://github.com/vinta/awesome-python,313978,2014-06-27 21:00:06+00:00,2026-08-05 06:11:04+00:00,Python,738,0,0,0
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,312668,2015-06-01 02:33:17+00:00,2026-08-12 18:50:03+00:00,,0,1,0,0
project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,279216,2017-04-12 05:07:46+00:00,2026-08-10 07:04:22+00:00,Python,194,0,88,239
996.ICU,996icu,https://github.com/996icu/996.ICU,276621,2019-03-26 07:31:14+00:00,2025-08-22 06:01:29+00:00,,1071,0,0,0
superpowers,obra,https://github.com/obra/superpowers,272151,2025-10-09 19:45:18+00:00,2026-08-13 00:36:31+00:00,Shell,167,12,693,843
react,react,https://github.com/react/react,247269,2013-05-24 16:15:54+00:00,2026-08-14 17:33:13+00:00,JavaScript,13034,132,13799,14613
linux,torvalds,https://github.com/torvalds/linux,242833,2011-09-04 22:48:12+00:00,2026-08-14 17:43:29+00:00,C,0,0,0,0
ECC,affaan-m,https://github.com/affaan-m/ECC,240153,2026-01-18 00:51:51+00:00,2026-08-13 22:58:25+00:00,JavaScript,991,15,667,704
the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,238359,2018-06-23 10:43:14+00:00,2024-11-19 14:00:38+00:00,,122,0,0,0
hermes-agent,NousResearch,https://github.com/NousResearch/hermes-agent,230612,2025-07-22 22:22:28+00:00,2026-08-14 20:39:35+00:00,Python,10597,25,10722,21519
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,223755,2016-07-16 09:44:01+00:00,2026-08-03 18:44:56+00:00,Python,3088,0,1606,1749
skills,mattpocock,https://github.com/mattpocock/skills,217471,2026-02-03 11:15:53+00:00,2026-08-13 09:06:37+00:00,Shell,86,7,302,639
vue,vuejs,https://github.com/vuejs/vue,210237,2013-07-29 03:24:51+00:00,2024-10-10 07:24:15+00:00,TypeScript,1136,249,9670,10035
computer-science,ossu,https://github.com/ossu/computer-science,207998,2014-05-04 00:18:39+00:00,2026-07-14 05:38:25+00:00,HTML,315,0,658,675
andrej-karpathy-skills,multica-ai,https://github.com/multica-ai/andrej-karpathy-skills,202507,2026-01-27 03:53:13+00:00,2026-04-20 10:05:04+00:00,,12,0,0,0
n8n,n8n-io,https://github.com/n8n-io/n8n,200651,2019-06-22 09:24:21+00:00,2026-08-14 19:40:23+00:00,TypeScript,19979,762,9664,10001
opencode,anomalyco,https://github.com/anomalyco/opencode,197505,2025-04-30 20:08:00+00:00,2026-08-14 20:30:37+00:00,TypeScript,7167,860,19743,23684
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,197026,2015-11-07 01:19:20+00:00,2026-08-14 20:34:06+00:00,C++,48924,222,40908,41679
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,196477,2018-03-24 07:47:04+00:00,2026-07-26 02:43:08+00:00,JavaScript,309,0,238,373
claw-code,ultraworkers,https://github.com/ultraworkers/claw-code,195080,2026-03-31 08:58:08+00:00,2026-08-06 11:18:35+00:00,Rust,141,0,2195,2211
FreeDomain,DigitalPlatDev,https://github.com/DigitalPlatDev/FreeDomain,192887,2024-05-30 13:23:00+00:00,2026-08-12 10:36:46+00:00,Markdown,0,0,0,0
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189183,2009-08-28 18:15:37+00:00,2026-08-11 11:03:43+00:00,Shell,3650,0,4926,5078
vscode,microsoft,https://github.com/microsoft/vscode,188706,2015-09-03 20:23:38+00:00,2026-08-14 20:39:38+00:00,TypeScript,51948,233,233380,250813
Microsoft-Activation-Scripts,massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts,187011,2020-01-12 23:03:34+00:00,2026-07-04 16:54:38+00:00,Batchfile,7,31,1065,1070
AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,186625,2023-03-16 09:21:07+00:00,2026-08-14 20:38:35+00:00,Python,4751,117,3639,3940
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,185196,2018-02-13 14:56:24+00:00,2024-08-21 09:40:10+00:00,,374,0,449,579
Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,185178,2018-03-01 16:05:52+00:00,2026-07-29 15:18:29+00:00,Jupyter Notebook,13,0,193,729
You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,184666,2013-11-16 02:37:24+00:00,2026-02-15 04:36:44+00:00,,370,0,947,947
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,184475,2020-10-26 04:22:55+00:00,2026-08-04 22:58:34+00:00,Python,3387,135,9925,11902
awesome-go,avelino,https://github.com/avelino/awesome-go,181074,2014-07-06 13:42:15+00:00,2026-08-13 13:50:42+00:00,Go,3864,0,736,758
ollama,ollama,https://github.com/ollama/ollama,178552,2023-06-26 19:39:32+00:00,2026-08-14 20:38:41+00:00,Go,3520,244,8575,10959
flutter,flutter,https://github.com/flutter/flutter,178411,2015-03-06 22:54:58+00:00,2026-08-14 20:22:28+00:00,Dart,49560,7,102598,115161
gitignore,github,https://github.com/github/gitignore,175288,2010-11-08 20:17:14+00:00,2026-07-23 16:06:45+00:00,,1779,0,0,0
bootstrap,twbs,https://github.com/twbs/bootstrap,174585,2011-07-29 21:19:00+00:00,2026-08-13 03:36:08+00:00,MDX,9481,94,22838,22940
markitdown,microsoft,https://github.com/microsoft/markitdown,173778,2024-11-13 19:56:40+00:00,2026-07-29 18:18:09+00:00,Python,183,20,181,564
