nome,estrelas,idade_anos,data_criacao,prs_aceitas,releases,url
codecrafters-io/build-your-own-x,539697,8.27,2018-05-09T12:03:18Z,157,0,https://github.com/codecrafters-io/build-your-own-x
sindresorhus/awesome,495734,12.09,2014-07-11T13:42:37Z,700,0,https://github.com/sindresorhus/awesome
public-apis/public-apis,458343,10.4,2016-03-20T23:49:42Z,2130,0,https://github.com/public-apis/public-apis
freeCodeCamp/freeCodeCamp,454023,11.64,2014-12-24T17:49:19Z,29096,0,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation/free-programming-books,394418,12.84,2013-10-11T06:50:37Z,7417,0,https://github.com/EbookFoundation/free-programming-books
openclaw/openclaw,386317,0.72,2025-11-24T10:16:47Z,24880,233,https://github.com/openclaw/openclaw
nilbuild/developer-roadmap,364430,9.42,2017-03-15T13:45:52Z,4396,1,https://github.com/nilbuild/developer-roadmap
donnemartin/system-design-primer,363776,9.46,2017-02-26T16:15:28Z,210,0,https://github.com/donnemartin/system-design-primer
jwasham/coding-interview-university,358734,10.19,2016-06-06T02:34:12Z,415,0,https://github.com/jwasham/coding-interview-university
vinta/awesome-python,313969,12.13,2014-06-27T21:00:06Z,738,0,https://github.com/vinta/awesome-python
awesome-selfhosted/awesome-selfhosted,312659,11.2,2015-06-01T02:33:17Z,0,1,https://github.com/awesome-selfhosted/awesome-selfhosted
practical-tutorials/project-based-learning,279212,9.34,2017-04-12T05:07:46Z,194,0,https://github.com/practical-tutorials/project-based-learning
996icu/996.ICU,276618,7.39,2019-03-26T07:31:14Z,1071,0,https://github.com/996icu/996.ICU
obra/superpowers,272138,0.84,2025-10-09T19:45:18Z,167,12,https://github.com/obra/superpowers
react/react,247269,13.22,2013-05-24T16:15:54Z,13034,132,https://github.com/react/react
torvalds/linux,242833,14.94,2011-09-04T22:48:12Z,0,0,https://github.com/torvalds/linux
affaan-m/ECC,240145,0.57,2026-01-18T00:51:51Z,991,15,https://github.com/affaan-m/ECC
trimstray/the-book-of-secret-knowledge,238351,8.14,2018-06-23T10:43:14Z,122,0,https://github.com/trimstray/the-book-of-secret-knowledge
NousResearch/hermes-agent,230599,1.06,2025-07-22T22:22:28Z,10588,25,https://github.com/NousResearch/hermes-agent
TheAlgorithms/Python,223751,10.08,2016-07-16T09:44:01Z,3088,0,https://github.com/TheAlgorithms/Python
mattpocock/skills,217440,0.53,2026-02-03T11:15:53Z,86,7,https://github.com/mattpocock/skills
vuejs/vue,210236,13.04,2013-07-29T03:24:51Z,1136,249,https://github.com/vuejs/vue
ossu/computer-science,207994,12.28,2014-05-04T00:18:39Z,315,0,https://github.com/ossu/computer-science
multica-ai/andrej-karpathy-skills,202497,0.54,2026-01-27T03:53:13Z,12,0,https://github.com/multica-ai/andrej-karpathy-skills
n8n-io/n8n,200648,7.15,2019-06-22T09:24:21Z,19979,762,https://github.com/n8n-io/n8n
anomalyco/opencode,197495,1.29,2025-04-30T20:08:00Z,7165,860,https://github.com/anomalyco/opencode
tensorflow/tensorflow,197026,10.77,2015-11-07T01:19:20Z,48922,222,https://github.com/tensorflow/tensorflow
trekhleb/javascript-algorithms,196476,8.39,2018-03-24T07:47:04Z,309,0,https://github.com/trekhleb/javascript-algorithms
ultraworkers/claw-code,195075,0.37,2026-03-31T08:58:08Z,141,0,https://github.com/ultraworkers/claw-code
DigitalPlatDev/FreeDomain,192872,2.21,2024-05-30T13:23:00Z,0,0,https://github.com/DigitalPlatDev/FreeDomain
ohmyzsh/ohmyzsh,189183,16.96,2009-08-28T18:15:37Z,3650,0,https://github.com/ohmyzsh/ohmyzsh
microsoft/vscode,188706,10.94,2015-09-03T20:23:38Z,51947,233,https://github.com/microsoft/vscode
massgravel/Microsoft-Activation-Scripts,187007,6.58,2020-01-12T23:03:34Z,7,31,https://github.com/massgravel/Microsoft-Activation-Scripts
Significant-Gravitas/AutoGPT,186621,3.41,2023-03-16T09:21:07Z,4751,117,https://github.com/Significant-Gravitas/AutoGPT
CyC2018/CS-Notes,185195,8.5,2018-02-13T14:56:24Z,374,0,https://github.com/CyC2018/CS-Notes
jackfrued/Python-100-Days,185178,8.45,2018-03-01T16:05:52Z,13,0,https://github.com/jackfrued/Python-100-Days
getify/You-Dont-Know-JS,184666,12.74,2013-11-16T02:37:24Z,370,0,https://github.com/getify/You-Dont-Know-JS
yt-dlp/yt-dlp,184471,5.8,2020-10-26T04:22:55Z,3387,135,https://github.com/yt-dlp/yt-dlp
avelino/awesome-go,181070,12.11,2014-07-06T13:42:15Z,3864,0,https://github.com/avelino/awesome-go
ollama/ollama,178550,3.13,2023-06-26T19:39:32Z,3519,244,https://github.com/ollama/ollama
flutter/flutter,178408,11.44,2015-03-06T22:54:58Z,49556,7,https://github.com/flutter/flutter
github/gitignore,175287,15.76,2010-11-08T20:17:14Z,1779,0,https://github.com/github/gitignore
twbs/bootstrap,174583,15.04,2011-07-29T21:19:00Z,9481,94,https://github.com/twbs/bootstrap
microsoft/markitdown,173767,1.75,2024-11-13T19:56:40Z,183,20,https://github.com/microsoft/markitdown
521xueweihan/HelloGitHub,170870,10.28,2016-05-04T06:24:11Z,17,68,https://github.com/521xueweihan/HelloGitHub
anthropics/skills,169405,0.89,2025-09-22T15:53:31Z,47,0,https://github.com/anthropics/skills
firecrawl/firecrawl,167380,2.33,2024-04-15T21:02:29Z,1925,35,https://github.com/firecrawl/firecrawl
f/prompts.chat,167124,3.69,2022-12-05T13:54:13Z,237,0,https://github.com/f/prompts.chat
AUTOMATIC1111/stable-diffusion-webui,164514,3.98,2022-08-22T14:05:26Z,1875,27,https://github.com/AUTOMATIC1111/stable-diffusion-webui
huggingface/transformers,164106,7.79,2018-10-29T13:56:00Z,20162,268,https://github.com/huggingface/transformers
jlevy/the-art-of-command-line,162106,11.24,2015-05-20T15:11:03Z,317,0,https://github.com/jlevy/the-art-of-command-line
Snailclimb/JavaGuide,157777,8.27,2018-05-07T13:27:00Z,1268,0,https://github.com/Snailclimb/JavaGuide
langflow-ai/langflow,153245,3.51,2023-02-08T22:28:03Z,7256,303,https://github.com/langflow-ai/langflow
langgenius/dify,152461,3.34,2023-04-12T07:40:24Z,13329,168,https://github.com/langgenius/dify
open-webui/open-webui,148794,2.85,2023-10-06T22:08:27Z,4027,167,https://github.com/open-webui/open-webui
airbnb/javascript,148153,13.78,2012-11-01T23:13:50Z,822,0,https://github.com/airbnb/javascript
Genymobile/scrcpy,147632,8.73,2017-11-21T18:00:27Z,153,52,https://github.com/Genymobile/scrcpy
msitarzewski/agency-agents,145473,0.84,2025-10-13T12:12:29Z,222,0,https://github.com/msitarzewski/agency-agents
langchain-ai/langchain,144266,3.82,2022-10-17T02:58:36Z,17239,1000,https://github.com/langchain-ai/langchain
x1xhlol/system-prompts-and-models-of-ai-tools,142824,1.44,2025-03-05T16:38:29Z,52,0,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools
yangshun/tech-interview-handbook,141871,10.11,2016-07-05T05:00:48Z,494,0,https://github.com/yangshun/tech-interview-handbook
vercel/next.js,141795,9.85,2016-10-05T23:32:51Z,28176,1000,https://github.com/vercel/next.js
